=== Summary of Results ===
Chunk Size   Overlap    Faithfulness    Relevancy      
250          50         0.8925          0.8844         
250          100        0.9162          0.8916         
250          200        0.9176          0.8965         
500          50         0.8987          0.884          
500          100        0.8996          0.8822         
500          200        0.9168          0.8987         
500          300        0.917           0.8876         
750          50         0.9137          0.8908         
750          100        0.9146          0.892          
750          200        0.9293          0.899          
750          300        0.8936          0.8847         
750          500        0.9131          0.892          
1000         50         0.9051          0.8895         
1000         100        0.9016          0.8864         
1000         200        0.9027          0.893          
1000         300        0.9181          0.9017         
1000         500        0.9362          0.9033         
1000         750        0.9192          0.9017         
1500         50         0.8996          0.8887         
1500         100        0.9054          0.8957         
1500         200        0.8869          0.8786         
1500         300        0.9132          0.8958         
1500         500        0.8939          0.8767         
1500         750        0.8958          0.8854         
1500         1000       0.9102          0.8948         
2000         50         0.8901          0.8786         
2000         100        0.8899          0.878          
2000         200        0.8909          0.8817         
2000         300        0.889           0.8792         
2000         500        0.8997          0.8941         
2000         750        0.8925          0.8891         
2000         1000       0.9086          0.889          
2000         1500       0.9203          0.8995         
3000         50         0.8869          0.8654         
3000         100        0.8869          0.8654         
3000         200        0.8869          0.8654         
3000         300        0.8869          0.8654         
3000         500        0.8869          0.8654         
3000         750        0.8869          0.8654         
3000         1000       0.8869          0.8654         
3000         1500       0.8869          0.8654         
3000         2000       0.8869          0.8654         
4000         50         0.8869          0.8654         
4000         100        0.8869          0.8654         
4000         200        0.8869          0.8654         
4000         300        0.8869          0.8654         
4000         500        0.8869          0.8654         
4000         750        0.8869          0.8654         
4000         1000       0.8869          0.8654         
4000         1500       0.8869          0.8654         
4000         2000       0.8869          0.8654         
5000         50         0.8869          0.8654         
5000         100        0.8869          0.8654         
5000         200        0.8869          0.8654         
5000         300        0.8869          0.8654         
5000         500        0.8869          0.8654         
5000         750        0.8869          0.8654         
5000         1000       0.8869          0.8654         
5000         1500       0.8869          0.8654         
5000         2000       0.8869          0.8654   
